episode,score,total_score,eval_score
763,95.00,27157.00,120.26
764,101.00,27258.00,120.28
765,239.00,27497.00,120.33
766,268.00,27765.00,120.38
767,230.00,27995.00,120.43
768,239.00,28234.00,120.48
769,273.00,28507.00,120.53
770,339.00,28846.00,120.60
771,249.00,29095.00,120.66
772,137.00,29232.00,120.68
773,286.00,29518.00,120.74
774,270.00,29788.00,120.80
775,139.00,29927.00,120.83
776,40.00,29967.00,120.84
777,37.00,30004.00,120.84
778,35.00,30039.00,120.85
779,28.00,30067.00,120.86
780,21.00,30088.00,120.86
781,26.00,30114.00,120.87
782,30.00,30144.00,120.87
783,25.00,30169.00,120.88
784,20.00,30189.00,120.88
785,14.00,30203.00,120.89
786,14.00,30217.00,120.89
787,15.00,30232.00,120.89
788,16.00,30248.00,120.89
789,14.00,30262.00,120.90
790,19.00,30281.00,120.90
791,15.00,30296.00,120.90
792,16.00,30312.00,120.91
793,22.00,30334.00,120.91
794,32.00,30366.00,120.92
795,27.00,30393.00,120.92
796,26.00,30419.00,120.93
797,23.00,30442.00,120.93
798,43.00,30485.00,120.94
799,34.00,30519.00,120.95
800,22.00,30541.00,120.96
801,25.00,30566.00,120.96
802,37.00,30603.00,120.97
803,39.00,30642.00,120.98
804,33.00,30675.00,120.98
805,19.00,30694.00,120.99
806,14.00,30708.00,120.99
807,11.00,30719.00,120.99
808,11.00,30730.00,120.99
809,10.00,30740.00,121.00
810,16.00,30756.00,121.00
811,11.00,30767.00,121.00
812,10.00,30777.00,121.00
813,18.00,30795.00,121.01
814,13.00,30808.00,121.01
815,13.00,30821.00,121.01
816,13.00,30834.00,121.02
817,22.00,30856.00,121.02
818,19.00,30875.00,121.02
819,15.00,30890.00,121.03
820,20.00,30910.00,121.03
821,31.00,30941.00,121.04
822,50.00,30991.00,121.05
823,44.00,31035.00,121.06
824,25.00,31060.00,121.06
825,19.00,31079.00,121.07
826,12.00,31091.00,121.07
827,14.00,31105.00,121.07
828,20.00,31125.00,121.08
829,14.00,31139.00,121.08
830,18.00,31157.00,121.08
831,17.00,31174.00,121.09
832,32.00,31206.00,121.09
833,35.00,31241.00,121.10
