episode,score,total_score,eval_score
535,25.00,9128.00,116.53
536,23.00,9151.00,116.53
537,31.00,9182.00,116.54
538,63.00,9245.00,116.55
539,88.00,9333.00,116.57
540,171.00,9504.00,116.60
541,83.00,9587.00,116.62
542,55.00,9642.00,116.63
543,123.00,9765.00,116.66
544,14.00,9779.00,116.66
545,20.00,9799.00,116.66
546,17.00,9816.00,116.67
547,20.00,9836.00,116.67
548,20.00,9856.00,116.68
549,90.00,9946.00,116.69
550,204.00,10150.00,116.74
551,55.00,10205.00,116.75
552,48.00,10253.00,116.76
553,36.00,10289.00,116.77
554,37.00,10326.00,116.77
555,40.00,10366.00,116.78
556,31.00,10397.00,116.79
557,29.00,10426.00,116.79
558,22.00,10448.00,116.80
559,13.00,10461.00,116.80
560,25.00,10486.00,116.81
561,20.00,10506.00,116.81
562,20.00,10526.00,116.81
563,18.00,10544.00,116.82
564,16.00,10560.00,116.82
565,18.00,10578.00,116.83
566,16.00,10594.00,116.83
567,18.00,10612.00,116.83
568,17.00,10629.00,116.84
569,13.00,10642.00,116.84
570,12.00,10654.00,116.84
571,12.00,10666.00,116.84
572,13.00,10679.00,116.85
573,13.00,10692.00,116.85
574,16.00,10708.00,116.85
575,13.00,10721.00,116.85
576,13.00,10734.00,116.86
577,12.00,10746.00,116.86
578,14.00,10760.00,116.86
579,13.00,10773.00,116.87
580,15.00,10788.00,116.87
581,15.00,10803.00,116.87
582,17.00,10820.00,116.88
583,20.00,10840.00,116.88
584,24.00,10864.00,116.88
585,33.00,10897.00,116.89
586,73.00,10970.00,116.91
587,148.00,11118.00,116.94
588,115.00,11233.00,116.96
589,67.00,11300.00,116.97
590,61.00,11361.00,116.99
591,61.00,11422.00,117.00
592,108.00,11530.00,117.02
593,101.00,11631.00,117.04
594,63.00,11694.00,117.06
595,61.00,11755.00,117.07
596,64.00,11819.00,117.08
597,68.00,11887.00,117.10
598,80.00,11967.00,117.11
599,153.00,12120.00,117.14
600,151.00,12271.00,117.18
601,58.00,12329.00,117.19
602,123.00,12452.00,117.21
603,137.00,12589.00,117.24
604,29.00,12618.00,117.25
605,170.00,12788.00,117.28
606,148.00,12936.00,117.31
607,134.00,13070.00,117.34
608,140.00,13210.00,117.37
609,113.00,13323.00,117.39
610,111.00,13434.00,117.42
611,20.00,13454.00,117.42
612,100.00,13554.00,117.44
613,116.00,13670.00,117.46
614,114.00,13784.00,117.49
615,112.00,13896.00,117.51
616,57.00,13953.00,117.52
617,142.00,14095.00,117.55
618,127.00,14222.00,117.58
619,103.00,14325.00,117.60
620,110.00,14435.00,117.62
621,98.00,14533.00,117.64
622,100.00,14633.00,117.66
623,113.00,14746.00,117.69
624,95.00,14841.00,117.71
625,32.00,14873.00,117.71
626,32.00,14905.00,117.72
627,32.00,14937.00,117.73
628,96.00,15033.00,117.75
629,107.00,15140.00,117.77
630,33.00,15173.00,117.78
631,104.00,15277.00,117.80
632,125.00,15402.00,117.82
633,88.00,15490.00,117.84
634,144.00,15634.00,117.87
635,104.00,15738.00,117.89
636,63.00,15801.00,117.91
637,145.00,15946.00,117.94
638,47.00,15993.00,117.95
639,41.00,16034.00,117.95
640,26.00,16060.00,117.96
641,53.00,16113.00,117.97
642,28.00,16141.00,117.98
643,64.00,16205.00,117.99
644,32.00,16237.00,118.00
645,33.00,16270.00,118.00
646,31.00,16301.00,118.01
647,288.00,16589.00,118.07
